CODUFMUN,COMPETEN,SUICIDE,POP_EST,RATE,SGRUPHAB_ONCOLOGY,TIPO_EQP_MENTAL_HEALTH,SGRUPHAB_NEUROLOGY,SERV_ESP_ORTHOPEDICS,SGRUPHAB_NUTRITION_GASTROLOGY,TIPEQUIP_OPTICAL_METHODS,TP_UNID_SHORTSTAY_HOSPITAL,CONSELHO_SPEECH_THERAPIST,SERV_ESP_DIAGNOSIS,SERV_ESP_REPRODUCTIVE_HEALTH,CONSELHO_PHARMACIST,CONSELHO_OPTICIAN,SGRUPHAB_WORKER_HEALTHCARE,TP_UNID_MOBILE_URGENCY_CARE,SERV_ESP_STI/HIV/AIDS,TIPO_EQP_INDIGENOUS_HEALTH,SERV_ESP_PHYSICALTHERAPY,TP_UNID_SUPPLY_CENTER,SERV_ESP_PRISON,TP_UNID_PSYCOSOCIAL_CENTER,CONSELHO_ENGINEERING_ARCHITECTURE_AGRONOMY,SERV_ESP_TUBERCULOSIS/HANSENS_DISEASES,TP_UNID_NOTIFICATION_CENTER,NULEITOS,HOSP_SUS,TP_UNID_CLINIC,SGRUPHAB_TRAUMA,TP_UNID_FAMILY_CENTER,SGRUPHAB_TRANSPLANT,TIPO_EQP_PRIMARY_CARE,SGRUPHAB_OPHTHALMOLOGY,TP_UNID_MIXED_EMERGENCY_UNIT,TP_UNID_PRIMARY_HEALTHCARE_UNIT,TP_UNID_CHILDBIRTH_CENTER,TP_UNID_HEALTHCARE_REGULATOR,CONSELHO_PHYSICIAN,TP_UNID_HEALTH_DEPARTMENT,SERV_ESP_TRANSSEXUAL,SERV_ESP_HEALTH_SURVEILLANCE,SERV_ESP_INDIGENOUS_HEALTH,TP_UNID_PREVENTION_CENTER,SGRUPHAB_PHYLANTHROPY,TP_UNID_PUBLIC_HEALTH_LABORATORY,SERV_ESP_COMMITTIEES,CONSELHO_SOCIAL_ASSISTANT,TIPEQUIP_GRAPHIC_METHODS,CONSELHO_BIOLOGIST,SERV_ESP_SEXUAL_VIOLENCE,SGRUPHAB_OBESITY,SERV_ESP_PHARMACY,AMB_SUS,TP_UNID_HOME_CARE,CONSELHO_NUTRITIONIST,SGRUPHAB_INTERMEDIARY_CARE,SGRUPHAB_ORTHOPEDICS,TIPEQUIP_OTHER,TP_UNID_CENTRAL_LABORATORY,TIPO_EQP_FAMILY_HEALTH,TIPEQUIP_DENTISTRY,CONSELHO_PSYCHOLOGIST,CNES,SGRUPHAB_TRANSEXUAL_CHANGE,SGRUPHAB_ICU,CONSELHO_DENTIST,SERV_ESP_HEARING_HEALTH,SERV_ESP_REHABILITATION,TP_UNID_GENERAL_HOSPITAL,SGRUPHAB_GENETICS,TP_UNID_SPECIALIZED_EMERGENCY_ROOM,CONSELHO_BIOMEDICINE,TIPO_EQP_HEALTH_AGENTS,TP_UNID_EMERGENCY_CARE,SERV_ESP_TRANSPLANT,CONSELHO_RADIOLOGIST,SGRUPHAB_CARDIOVASCULAR,SGRUPHAB_AURICULAR,SGRUPHAB_HIV/AIDS,TIPO_EQP_ORAL_HEALTH,Leitos,TP_UNID_MOBILE_HEATH_CARE,SERV_ESP_ORAL_HEALTH,TP_UNID_RIVER_MOBILE_UNIT,SERV_ESP_SURGERY,SERV_ESP_PREGNANCY,SERV_ESP_RARE_DISEASES,SGRUPHAB_URGENCY,TP_UNID_IMMUNIZATION_CENTER,SERV_ESP_BASIC_HEALTH,SERV_ESP_CARDIOVASCULAR,SGRUPHAB_SURGERY,CONSELHO_STATISTICIAN,TIPEQUIP_INFRASTRUCTURE,CONSELHO_RADIOLOGY_TECHNICIAN,TP_UNID_EDUCATIONAL_CENTER,CONSELHO_CHEMIST,SERV_ESP_MENTAL_HEALTH,SERV_ESP_SMOKING,SERV_ESP_ICU,SERV_ESP_PNEUMOLOGY,TIPEQUIP_IMAGE_DIAGNOSIS,PROF_SUS,SERV_ESP_ADOLESCENT_HEALTH,SGRUPHAB_MENTAL_HEALTH,VINC_SUS,TP_UNID_DIAGNOSTIC_CENTER,TP_UNID_MULTISPECIALIST_CLINIC,TIPO_EQP_PRISION_HEALTH,CONSELHO_PHYSIOTHERAPIST_OCCUPATIONAL_THERAPIST,SERV_ESP_TELEHEALTH,CONSELHO_PHYSICIST,TP_UNID_INDIGENOUS_CENTER,CONSELHO_PEDAGOGY,TP_UNID_MULTISPECIALIST_PRIMARY_HEALTHCARE,SERV_ESP_ONCOLOGY,SGRUPHAB_ODONTOLOGY,SERV_ESP_NEUROLOGY,SERV_ESP_NEFROLOGY,TIPEQUIP_AUDIOLOGY,CONSELHO_VETERINARIAN,TP_UNID_GENERAL_EMERGENCY_ROOM,TP_UNID_PHARMACY,SERV_ESP_OPHTHALMOLOGY,SGRUPHAB_GERIATRIC,TP_UNID_HOME_CARE_UNIT,SGRUPHAB_CHRONIC_DISEASES,SERV_ESP_NUTRITION/GASTROLOGY,SERV_ESP_ENDOCRINOLOGY,SERV_ESP_URGENCY,TP_UNID_HEALTHCARE_SURVEILLANCE,TP_UNID_HEALTH_INSURANCE,CONSELHO_MEDICAL_REGISTRATION_MAIS_MEDICOS,SERV_ESP_HEMOTHERAPY,CONSELHO_ECONOMIST,TP_UNID_ACCESS_CENTER,SERV_ESP_IMUNIZATION,CONSELHO_NURSING,CONSELHO_PHYSICAL_EDUCATION,SGRUPHAB_NEPHROLOGY,TP_UNID_HEMOTHERAPY_CENTER,TP_UNID_URGENCY_CARE_REGULATOR,SERV_ESP_TEACHING,SGRUPHAB_PHYSICAL_REHABILITATION,TIPEQUIP_LIFE_MAINTAINING,TP_UNID_SPECIALIST_UNIT,SERV_ESP_OBESITY,TP_UNID_TELEHEALTH,SGRUPHAB_PREGNANCY,IND_SUS,TP_UNID_SPECIALIZED_HOSPITAL,SGRUPHAB_TEACHING,RATE_SUICIDE
510560,201111,2,17017,11.752952929423518,0,0,0,0,0,2,0,1,25,4,6,0,0,0,0,0,17,0,0,0,0,5,0,0,1,7,0,0,0,0,0,0,2,0,0,34,1,0,4,0,0,0,0,0,2,2,0,0,0,1,9,0,1,0,0,10,0,1,37,2,74471235,0,0,12,0,0,2,0,0,0,0,0,0,2,0,0,0,3,62,0,0,0,1,10,0,0,0,8,0,2,0,4,1,0,0,0,1,0,0,14,88,0,0,9,2,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,44,0,0,0,0,0,0,22,1,0,0,0,8,0,0,2
510560,201112,1,17017,5.876476464711759,0,0,0,0,0,2,0,1,25,4,6,0,0,0,0,0,17,0,0,0,0,5,0,0,1,7,0,0,0,0,0,0,2,0,0,36,1,0,4,0,0,0,0,0,2,2,0,0,0,1,9,0,1,0,0,10,0,1,37,2,74471235,0,0,12,0,0,2,0,0,0,0,0,0,2,0,0,0,3,62,0,0,0,1,10,0,0,0,8,0,2,0,4,1,0,0,0,1,0,0,14,92,0,0,9,2,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,46,0,0,0,0,0,0,22,1,0,0,0,8,0,0,1
510560,201205,1,17017,5.876476464711759,0,0,0,0,0,2,0,1,29,2,9,0,0,0,0,0,8,0,0,0,0,5,0,0,1,7,0,0,0,0,0,0,2,0,0,54,1,0,4,0,0,0,0,0,2,4,0,0,0,0,8,0,2,0,0,12,0,1,43,2,76862959,0,0,12,0,0,3,0,0,0,0,0,0,4,0,0,0,3,96,0,0,0,1,8,0,0,0,8,0,4,0,5,2,0,0,1,1,0,0,17,150,0,0,10,2,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,78,0,0,0,0,0,0,32,1,0,0,0,9,0,0,1
510560,201304,1,17017,5.876476464711759,0,0,0,0,0,2,0,1,28,2,8,0,0,0,0,0,8,0,0,0,0,5,0,0,1,7,0,0,0,0,0,0,2,0,0,35,1,0,4,0,0,0,0,0,2,4,0,0,0,1,8,0,2,0,0,12,0,1,43,2,76862959,0,0,14,0,0,3,0,0,0,0,0,0,2,0,0,0,1,87,0,0,0,1,7,0,0,0,8,0,4,0,5,2,0,0,1,1,0,0,17,128,0,0,10,2,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,76,0,0,0,0,0,0,32,1,0,0,0,9,0,0,1
510560,201305,2,17017,11.752952929423518,0,0,0,0,0,2,0,1,28,2,8,0,0,0,0,0,8,0,0,0,0,5,0,0,1,7,0,0,0,0,0,0,2,0,0,37,1,0,4,0,0,0,0,0,4,4,0,0,0,1,8,0,2,0,0,12,0,1,43,5,76862959,0,0,14,0,0,3,0,0,0,0,0,0,2,0,0,0,1,87,0,0,0,1,7,0,0,0,8,0,4,0,5,2,0,0,1,1,0,0,17,132,0,0,10,2,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,73,0,0,0,0,0,0,32,1,0,0,0,9,0,0,2
510560,201310,1,17017,5.876476464711759,0,0,0,0,0,4,0,1,28,2,8,0,0,0,0,0,8,0,0,0,0,4,0,0,1,7,0,0,0,0,0,0,3,0,0,42,1,0,4,0,0,0,0,0,4,2,0,0,0,1,8,0,2,0,0,12,0,0,43,2,76862959,0,0,15,0,0,3,0,0,0,1,0,0,2,0,0,0,3,87,0,0,0,1,7,0,0,0,7,0,4,0,5,2,0,0,1,1,0,0,19,140,0,0,10,2,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,77,0,0,0,0,0,0,26,1,0,0,0,9,0,0,1
510560,201406,1,17017,5.876476464711759,0,0,0,0,0,6,0,0,29,2,10,0,0,0,0,0,8,0,0,0,0,5,0,0,1,7,0,0,0,0,0,0,2,0,0,47,1,0,4,0,0,0,0,0,4,3,0,0,0,1,8,0,3,0,0,12,0,2,43,2,84313262,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,1,89,0,0,0,1,7,0,0,0,8,0,4,0,5,6,0,0,1,1,0,0,19,149,0,0,10,2,1,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,83,0,0,0,0,0,0,29,2,0,0,0,10,0,0,1
510560,201412,1,17017,5.876476464711759,0,0,0,0,0,6,0,0,25,2,15,0,0,0,0,0,11,0,0,0,0,6,0,0,2,7,0,0,0,0,0,0,2,0,0,49,1,0,4,0,0,0,0,0,5,3,0,0,0,1,10,0,3,0,0,12,0,0,62,5,99423488,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,6,89,0,0,0,1,8,0,0,0,10,0,4,0,5,6,0,0,1,1,0,0,19,164,0,0,12,2,1,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,82,0,0,0,0,0,0,29,2,0,0,0,12,0,0,1
510560,201704,1,17017,5.876476464711759,0,0,0,0,0,6,0,1,24,2,18,0,0,0,0,0,11,0,0,0,0,4,0,0,4,6,0,0,0,0,0,0,2,0,0,48,1,0,4,0,0,0,0,0,3,3,0,0,0,1,14,0,4,0,0,10,0,1,56,4,126104979,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,6,90,0,0,0,1,8,0,0,0,14,0,4,0,6,6,2,0,2,1,0,0,17,186,0,0,16,2,1,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,1,0,101,2,0,0,0,0,0,30,2,0,0,0,13,0,0,1
510560,201711,1,17017,5.876476464711759,0,0,0,0,0,6,0,1,24,2,19,0,0,0,0,0,11,0,0,0,0,4,0,0,4,6,0,1,0,0,0,0,2,0,0,48,1,0,4,0,0,0,0,0,5,3,0,0,0,1,15,0,3,0,0,10,0,1,56,5,135398788,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,1,9,0,0,0,15,0,4,0,6,6,2,0,2,1,0,0,17,191,0,0,17,2,1,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,1,0,100,2,0,0,0,0,0,30,2,0,0,0,13,0,0,1
