CODUFMUN,COMPETEN,SUICIDE,POP_EST,RATE,SERV_ESP_NEFROLOGY,CONSELHO_OPTICIAN,SGRUPHAB_ORTHOPEDICS,CONSELHO_DENTIST,TP_UNID_PSYCOSOCIAL_CENTER,SERV_ESP_RARE_DISEASES,CONSELHO_MEDICAL_REGISTRATION_MAIS_MEDICOS,SGRUPHAB_CHRONIC_DISEASES,TP_UNID_MOBILE_HEATH_CARE,SGRUPHAB_NUTRITION_GASTROLOGY,SGRUPHAB_INTERMEDIARY_CARE,TIPO_EQP_FAMILY_HEALTH,SGRUPHAB_TEACHING,TP_UNID_RIVER_MOBILE_UNIT,SERV_ESP_HEALTH_SURVEILLANCE,SERV_ESP_PRISON,SGRUPHAB_PHYSICAL_REHABILITATION,TIPEQUIP_OTHER,CONSELHO_STATISTICIAN,TP_UNID_PRIMARY_HEALTHCARE_UNIT,TIPEQUIP_GRAPHIC_METHODS,SERV_ESP_HEMOTHERAPY,TP_UNID_HEALTH_DEPARTMENT,SERV_ESP_ADOLESCENT_HEALTH,TP_UNID_SUPPLY_CENTER,SERV_ESP_TEACHING,TP_UNID_CLINIC,SERV_ESP_URGENCY,SGRUPHAB_WORKER_HEALTHCARE,CONSELHO_NUTRITIONIST,SGRUPHAB_TRAUMA,TP_UNID_TELEHEALTH,TP_UNID_GENERAL_HOSPITAL,SERV_ESP_ORTHOPEDICS,SERV_ESP_SMOKING,TIPO_EQP_ORAL_HEALTH,SGRUPHAB_GERIATRIC,TP_UNID_HOME_CARE,CONSELHO_PSYCHOLOGIST,PROF_SUS,TP_UNID_EMERGENCY_CARE,CONSELHO_PHYSIOTHERAPIST_OCCUPATIONAL_THERAPIST,SERV_ESP_COMMITTIEES,SERV_ESP_NUTRITION/GASTROLOGY,CONSELHO_CHEMIST,TIPO_EQP_MENTAL_HEALTH,SGRUPHAB_PHYLANTHROPY,TIPO_EQP_PRIMARY_CARE,SERV_ESP_ONCOLOGY,SGRUPHAB_MENTAL_HEALTH,SERV_ESP_CARDIOVASCULAR,TP_UNID_URGENCY_CARE_REGULATOR,CONSELHO_SOCIAL_ASSISTANT,SGRUPHAB_NEPHROLOGY,TP_UNID_MIXED_EMERGENCY_UNIT,CONSELHO_NURSING,CONSELHO_PHYSICIST,TP_UNID_MULTISPECIALIST_CLINIC,TP_UNID_EDUCATIONAL_CENTER,TP_UNID_SPECIALIZED_EMERGENCY_ROOM,SGRUPHAB_NEUROLOGY,TP_UNID_CHILDBIRTH_CENTER,TP_UNID_MULTISPECIALIST_PRIMARY_HEALTHCARE,CONSELHO_PHYSICAL_EDUCATION,TP_UNID_DIAGNOSTIC_CENTER,SERV_ESP_TELEHEALTH,SGRUPHAB_HIV/AIDS,SERV_ESP_REHABILITATION,SGRUPHAB_GENETICS,TP_UNID_FAMILY_CENTER,SERV_ESP_ORAL_HEALTH,CONSELHO_RADIOLOGIST,SGRUPHAB_OBESITY,TP_UNID_MOBILE_URGENCY_CARE,TP_UNID_HEALTHCARE_REGULATOR,IND_SUS,TIPO_EQP_HEALTH_AGENTS,TP_UNID_HOME_CARE_UNIT,CONSELHO_PEDAGOGY,SGRUPHAB_TRANSPLANT,TP_UNID_NOTIFICATION_CENTER,SERV_ESP_HEARING_HEALTH,CONSELHO_SPEECH_THERAPIST,SGRUPHAB_ODONTOLOGY,TP_UNID_SPECIALIZED_HOSPITAL,TIPEQUIP_DENTISTRY,VINC_SUS,Leitos,SERV_ESP_OPHTHALMOLOGY,SERV_ESP_INDIGENOUS_HEALTH,TIPO_EQP_INDIGENOUS_HEALTH,SERV_ESP_DIAGNOSIS,SGRUPHAB_URGENCY,TIPEQUIP_LIFE_MAINTAINING,SGRUPHAB_AURICULAR,TP_UNID_IMMUNIZATION_CENTER,SERV_ESP_IMUNIZATION,TP_UNID_CENTRAL_LABORATORY,CONSELHO_RADIOLOGY_TECHNICIAN,TIPEQUIP_INFRASTRUCTURE,TP_UNID_SHORTSTAY_HOSPITAL,SGRUPHAB_TRANSEXUAL_CHANGE,SGRUPHAB_OPHTHALMOLOGY,TIPEQUIP_OPTICAL_METHODS,SERV_ESP_BASIC_HEALTH,TP_UNID_ACCESS_CENTER,SGRUPHAB_ICU,CNES,SERV_ESP_REPRODUCTIVE_HEALTH,SERV_ESP_ICU,SGRUPHAB_CARDIOVASCULAR,SERV_ESP_SEXUAL_VIOLENCE,TP_UNID_INDIGENOUS_CENTER,TP_UNID_PHARMACY,SERV_ESP_PNEUMOLOGY,CONSELHO_PHYSICIAN,TIPEQUIP_IMAGE_DIAGNOSIS,TP_UNID_HEALTH_INSURANCE,CONSELHO_BIOLOGIST,TP_UNID_HEALTHCARE_SURVEILLANCE,SERV_ESP_SURGERY,SGRUPHAB_SURGERY,TP_UNID_GENERAL_EMERGENCY_ROOM,SERV_ESP_NEUROLOGY,SERV_ESP_PHYSICALTHERAPY,CONSELHO_PHARMACIST,SGRUPHAB_PREGNANCY,CONSELHO_BIOMEDICINE,CONSELHO_VETERINARIAN,TP_UNID_PREVENTION_CENTER,SERV_ESP_PHARMACY,SERV_ESP_STI/HIV/AIDS,SERV_ESP_PREGNANCY,TP_UNID_PUBLIC_HEALTH_LABORATORY,SERV_ESP_TRANSSEXUAL,SERV_ESP_ENDOCRINOLOGY,NULEITOS,TP_UNID_HEMOTHERAPY_CENTER,SGRUPHAB_ONCOLOGY,SERV_ESP_MENTAL_HEALTH,SERV_ESP_TUBERCULOSIS/HANSENS_DISEASES,TIPO_EQP_PRISION_HEALTH,SERV_ESP_TRANSPLANT,TP_UNID_SPECIALIST_UNIT,TIPEQUIP_AUDIOLOGY,AMB_SUS,SERV_ESP_OBESITY,HOSP_SUS,RATE_SUICIDE
210005,201301,2,113783,1.757731822855787,0,0,0,30,1,0,0,0,0,0,0,12,0,0,4,0,0,4,0,21,3,2,1,0,0,0,26,3,0,6,0,0,5,2,2,5,0,0,4,505,0,8,0,3,3,0,0,0,0,1,0,0,9,0,0,264,0,1,0,0,0,0,1,1,9,0,0,0,0,0,4,0,0,4,0,24,7,0,0,0,0,1,2,0,0,23,41,426,2,0,0,26,0,28,0,0,0,0,19,28,0,0,0,16,20,0,0,342921545,0,0,0,0,0,0,0,153,24,0,2,1,0,4,0,0,3,35,0,0,3,0,0,0,14,0,0,0,0,0,0,1,11,0,0,9,0,39,0,2,0
210005,201308,1,113783,0.8788659114278935,0,0,0,31,1,0,0,0,0,0,0,13,0,0,4,0,0,4,0,0,5,2,1,0,0,0,23,3,0,5,0,0,5,2,2,5,0,0,7,488,0,9,0,2,3,0,0,0,0,1,0,0,4,0,0,228,0,2,0,0,0,0,23,0,10,0,0,1,0,0,4,0,0,3,0,20,6,0,0,0,0,1,3,0,0,23,41,426,2,0,0,29,0,24,0,0,0,0,19,30,0,0,0,15,20,0,0,341789857,0,0,0,0,0,0,0,176,28,0,2,1,0,4,0,0,3,34,0,0,3,0,0,0,14,0,0,0,0,0,0,1,11,0,0,9,11,38,0,1,0
210005,201403,1,113783,0.8788659114278935,0,0,0,32,1,0,0,0,0,0,0,13,0,0,4,0,0,4,0,0,7,2,1,0,0,0,24,3,0,7,0,0,5,2,2,5,0,0,6,560,0,8,0,2,2,0,0,0,0,1,0,0,5,0,0,294,1,4,0,0,0,0,23,1,10,0,0,1,0,0,4,0,0,3,0,21,6,0,0,0,0,1,3,0,0,29,42,416,2,0,0,29,0,24,0,0,0,0,19,32,0,0,1,15,20,0,0,363884644,0,0,0,0,0,0,0,171,30,0,2,1,0,4,0,0,3,40,0,0,3,0,1,0,14,0,0,0,0,0,0,1,11,0,0,9,13,39,0,1,0
210005,201409,1,113783,0.8788659114278935,0,0,0,32,1,0,0,0,0,0,0,13,0,0,4,0,0,5,0,0,9,2,1,0,0,0,27,3,0,6,0,0,5,2,2,5,0,0,6,553,0,8,0,2,2,0,0,0,0,1,0,0,5,0,0,298,1,4,0,0,0,0,23,1,10,0,0,1,0,0,4,0,0,3,0,21,6,0,0,0,0,1,3,0,0,35,42,416,2,0,0,29,0,24,0,0,0,0,19,34,0,0,1,18,20,0,0,394152875,0,0,0,0,0,0,0,173,31,0,2,1,0,4,0,0,3,40,0,0,3,0,1,0,14,0,0,0,0,0,0,1,11,0,0,10,16,39,0,1,0
210005,201412,1,113783,0.8788659114278935,0,0,0,32,1,0,0,0,0,0,0,13,0,0,4,0,0,5,0,0,9,2,1,0,0,0,28,3,0,7,0,0,5,2,4,5,0,0,6,536,0,8,0,2,2,0,0,0,0,1,0,0,5,0,0,295,1,4,0,0,0,0,23,1,10,0,0,0,0,0,4,0,0,3,0,21,6,0,0,0,0,1,3,0,0,35,42,416,2,0,0,29,0,24,0,0,0,0,19,35,0,0,1,18,20,0,0,401764543,0,0,0,0,0,0,0,161,31,0,2,1,0,4,0,0,3,40,0,0,3,0,1,0,14,0,0,0,0,0,0,1,11,0,0,10,16,38,0,1,0
210005,201601,1,113783,0.8788659114278935,0,0,0,33,1,0,0,0,0,0,0,14,0,0,5,0,0,5,0,0,10,2,1,0,0,0,22,3,0,9,0,0,5,4,4,5,0,0,4,512,0,7,0,2,0,0,0,0,0,1,0,0,5,0,0,285,1,4,0,0,0,0,23,1,11,0,0,0,0,0,5,0,0,3,0,23,5,0,0,0,0,1,3,0,0,38,44,415,2,0,0,30,0,24,0,0,0,0,19,32,0,0,1,29,20,0,0,387016943,0,0,0,0,0,0,0,150,31,0,2,2,0,4,0,0,3,38,0,0,3,0,1,0,15,0,0,0,0,0,0,1,11,0,0,9,16,41,0,1,0
210005,201604,2,113783,1.757731822855787,0,0,0,33,1,0,0,0,0,0,0,14,0,0,5,0,0,6,0,0,11,2,1,0,0,0,22,3,0,9,0,0,5,4,4,5,0,0,5,516,0,7,0,2,0,0,0,0,0,1,0,0,5,0,0,288,1,6,0,0,0,0,23,1,11,0,0,0,0,0,5,0,0,3,0,24,6,0,0,0,0,1,3,0,0,38,45,415,2,0,0,30,0,25,0,0,0,0,19,34,0,0,1,37,20,0,0,402933893,0,0,0,0,0,0,0,158,39,0,2,2,0,4,0,0,3,38,0,0,3,0,1,0,15,0,0,0,0,0,0,1,12,0,0,9,16,42,0,1,0
210005,201608,1,113783,0.8788659114278935,0,0,0,33,1,0,1,0,0,0,0,19,0,0,5,0,0,6,0,0,12,2,1,0,0,0,22,4,0,9,0,0,5,5,4,5,0,0,6,581,1,8,0,2,0,0,0,0,0,1,0,0,7,0,0,323,1,6,0,0,0,0,24,1,11,0,0,0,0,0,5,0,0,3,0,26,2,0,0,0,0,1,3,0,0,38,46,423,2,0,0,31,0,31,0,0,0,0,26,37,0,0,0,38,21,0,0,419973088,0,0,0,0,0,0,0,181,41,0,2,2,0,4,0,0,3,39,0,0,3,0,1,0,17,0,0,0,0,0,0,1,12,0,0,9,16,44,0,1,0
210005,201610,1,113783,0.8788659114278935,0,0,0,35,1,0,1,0,0,0,0,19,0,0,5,0,0,6,0,0,12,2,1,0,0,0,24,4,0,9,0,0,5,6,4,5,0,0,6,599,1,8,0,2,0,0,0,0,0,1,0,0,7,0,0,325,1,7,0,0,0,0,24,1,11,0,0,0,0,0,5,0,0,3,0,28,2,0,0,0,0,1,3,0,0,45,46,423,2,0,0,35,0,31,0,0,0,0,28,39,0,0,0,38,21,0,0,451637401,0,0,0,0,0,0,0,202,45,0,2,2,0,4,0,0,3,41,0,0,3,0,1,0,18,0,0,0,0,0,0,1,14,0,0,9,16,45,0,1,0
210005,201705,1,113783,0.8788659114278935,1,0,0,37,1,0,1,0,0,0,0,19,0,0,5,0,0,6,0,0,17,3,1,0,0,0,26,6,0,8,0,0,5,6,4,5,0,0,6,605,1,8,0,4,0,0,0,0,0,1,0,0,8,0,0,321,1,9,0,0,0,0,24,1,11,0,0,0,0,0,5,0,0,3,0,30,2,0,0,0,0,1,3,0,0,51,47,372,2,0,0,40,0,37,0,0,0,0,30,42,0,0,0,63,21,0,0,485930114,0,0,0,0,0,0,0,221,59,0,0,2,0,4,0,0,3,47,0,0,2,0,1,0,19,0,0,0,0,0,0,1,21,0,0,9,20,48,0,1,0
