CODUFMUN,COMPETEN,SUICIDE,POP_EST,RATE,AMB_SUS,CONSELHO_RADIOLOGIST,TP_UNID_INDIGENOUS_CENTER,SGRUPHAB_SURGERY,TP_UNID_URGENCY_CARE_REGULATOR,TIPEQUIP_INFRASTRUCTURE,CONSELHO_BIOMEDICINE,TP_UNID_MOBILE_HEATH_CARE,SERV_ESP_NUTRITION/GASTROLOGY,SERV_ESP_COMMITTIEES,SERV_ESP_CARDIOVASCULAR,TIPEQUIP_IMAGE_DIAGNOSIS,SGRUPHAB_NEUROLOGY,TIPEQUIP_GRAPHIC_METHODS,SERV_ESP_REPRODUCTIVE_HEALTH,SERV_ESP_TELEHEALTH,TP_UNID_MIXED_EMERGENCY_UNIT,CONSELHO_NUTRITIONIST,TP_UNID_CENTRAL_LABORATORY,SGRUPHAB_OBESITY,TP_UNID_ACCESS_CENTER,SGRUPHAB_TEACHING,CONSELHO_PHYSICIAN,SGRUPHAB_PHYSICAL_REHABILITATION,CONSELHO_MEDICAL_REGISTRATION_MAIS_MEDICOS,CONSELHO_PHYSICIST,SERV_ESP_PREGNANCY,SERV_ESP_URGENCY,TP_UNID_HOME_CARE_UNIT,PROF_SUS,TIPO_EQP_PRIMARY_CARE,SGRUPHAB_TRANSPLANT,TP_UNID_HEMOTHERAPY_CENTER,SERV_ESP_TEACHING,SERV_ESP_TRANSSEXUAL,TIPEQUIP_AUDIOLOGY,SERV_ESP_ONCOLOGY,CONSELHO_OPTICIAN,TP_UNID_EMERGENCY_CARE,TP_UNID_GENERAL_EMERGENCY_ROOM,NULEITOS,SERV_ESP_PNEUMOLOGY,TP_UNID_MULTISPECIALIST_PRIMARY_HEALTHCARE,SERV_ESP_PHYSICALTHERAPY,TP_UNID_PUBLIC_HEALTH_LABORATORY,SGRUPHAB_URGENCY,SGRUPHAB_WORKER_HEALTHCARE,TP_UNID_SHORTSTAY_HOSPITAL,TP_UNID_DIAGNOSTIC_CENTER,TP_UNID_FAMILY_CENTER,TP_UNID_CHILDBIRTH_CENTER,TP_UNID_PREVENTION_CENTER,CONSELHO_RADIOLOGY_TECHNICIAN,TIPO_EQP_INDIGENOUS_HEALTH,TIPO_EQP_FAMILY_HEALTH,TP_UNID_HEALTHCARE_SURVEILLANCE,SERV_ESP_INDIGENOUS_HEALTH,SERV_ESP_ORTHOPEDICS,TP_UNID_EDUCATIONAL_CENTER,SERV_ESP_REHABILITATION,CONSELHO_PHARMACIST,CONSELHO_STATISTICIAN,TP_UNID_GENERAL_HOSPITAL,TIPO_EQP_PRISION_HEALTH,SERV_ESP_ORAL_HEALTH,CONSELHO_DENTIST,SGRUPHAB_GERIATRIC,SGRUPHAB_TRANSEXUAL_CHANGE,TP_UNID_SPECIALIST_UNIT,SGRUPHAB_ONCOLOGY,SERV_ESP_SURGERY,SERV_ESP_MENTAL_HEALTH,CONSELHO_CHEMIST,CNES,CONSELHO_SOCIAL_ASSISTANT,TP_UNID_PSYCOSOCIAL_CENTER,TIPO_EQP_MENTAL_HEALTH,SERV_ESP_ADOLESCENT_HEALTH,SERV_ESP_HEALTH_SURVEILLANCE,Leitos,CONSELHO_NURSING,SERV_ESP_OBESITY,TP_UNID_RIVER_MOBILE_UNIT,SGRUPHAB_CARDIOVASCULAR,SERV_ESP_TRANSPLANT,SGRUPHAB_MENTAL_HEALTH,TP_UNID_IMMUNIZATION_CENTER,SERV_ESP_OPHTHALMOLOGY,SGRUPHAB_NEPHROLOGY,TP_UNID_NOTIFICATION_CENTER,SGRUPHAB_ODONTOLOGY,SERV_ESP_BASIC_HEALTH,SGRUPHAB_CHRONIC_DISEASES,SGRUPHAB_ORTHOPEDICS,TP_UNID_SPECIALIZED_EMERGENCY_ROOM,TIPEQUIP_DENTISTRY,TP_UNID_HOME_CARE,SGRUPHAB_HIV/AIDS,CONSELHO_VETERINARIAN,SGRUPHAB_NUTRITION_GASTROLOGY,SGRUPHAB_TRAUMA,SGRUPHAB_PREGNANCY,SERV_ESP_DIAGNOSIS,SERV_ESP_ICU,SGRUPHAB_ICU,SERV_ESP_ENDOCRINOLOGY,SERV_ESP_HEARING_HEALTH,TIPO_EQP_HEALTH_AGENTS,IND_SUS,TIPEQUIP_LIFE_MAINTAINING,SERV_ESP_NEUROLOGY,SERV_ESP_PHARMACY,SERV_ESP_SEXUAL_VIOLENCE,TP_UNID_CLINIC,TP_UNID_HEALTH_DEPARTMENT,CONSELHO_BIOLOGIST,SERV_ESP_NEFROLOGY,TP_UNID_SUPPLY_CENTER,HOSP_SUS,CONSELHO_PEDAGOGY,SERV_ESP_TUBERCULOSIS/HANSENS_DISEASES,CONSELHO_PHYSIOTHERAPIST_OCCUPATIONAL_THERAPIST,CONSELHO_ECONOMIST,CONSELHO_PSYCHOLOGIST,TP_UNID_HEALTH_INSURANCE,TP_UNID_PHARMACY,TIPEQUIP_OPTICAL_METHODS,SERV_ESP_HEMOTHERAPY,SGRUPHAB_INTERMEDIARY_CARE,TP_UNID_HEALTHCARE_REGULATOR,SGRUPHAB_PHYLANTHROPY,TP_UNID_PRIMARY_HEALTHCARE_UNIT,CONSELHO_PHYSICAL_EDUCATION,TP_UNID_MULTISPECIALIST_CLINIC,SERV_ESP_SMOKING,SGRUPHAB_GENETICS,TP_UNID_MOBILE_URGENCY_CARE,TIPO_EQP_ORAL_HEALTH,TIPEQUIP_OTHER,TP_UNID_SPECIALIZED_HOSPITAL,TP_UNID_TELEHEALTH,CONSELHO_SPEECH_THERAPIST,SERV_ESP_PRISON,SGRUPHAB_AURICULAR,VINC_SUS,SERV_ESP_RARE_DISEASES,SGRUPHAB_OPHTHALMOLOGY,SERV_ESP_STI/HIV/AIDS,SERV_ESP_IMUNIZATION,RATE_SUICIDE
411320,201411,1,48651,2.0554562085054777,25,1,0,4,0,8,0,0,1,0,0,28,0,9,1,0,0,15,0,0,0,0,166,0,4,0,4,5,0,667,0,0,0,0,0,3,0,0,1,1,4,0,4,14,0,0,0,0,6,0,0,0,32,0,3,0,0,0,0,2,43,0,2,0,0,32,0,0,6,0,0,6,0,309379359,11,1,0,0,3,201,386,0,0,0,0,1,0,0,0,0,0,12,0,0,0,65,0,0,1,0,0,2,48,0,0,0,2,0,23,37,0,5,0,37,1,0,0,0,6,0,2,36,0,17,0,3,0,4,2,0,0,15,0,1,2,0,1,4,19,2,0,11,0,0,37,0,0,0,0,0
411320,201501,2,48651,4.1109124170109554,25,1,0,5,0,12,0,0,1,0,0,34,0,10,2,0,0,18,0,0,0,0,195,0,4,0,4,5,0,861,0,0,0,0,0,3,0,0,1,1,4,0,5,14,0,0,0,0,6,0,0,0,45,0,4,0,0,0,0,2,56,0,3,0,2,34,0,0,6,0,0,6,0,309397022,14,1,0,0,3,242,506,0,0,0,0,1,0,0,0,0,0,14,0,0,0,80,0,0,1,0,0,2,49,0,0,0,2,0,24,51,0,5,0,37,1,0,0,0,7,0,2,42,0,23,0,3,3,6,2,0,0,14,0,1,2,0,1,4,25,2,0,12,0,0,38,0,0,1,0,0
411320,201503,1,48651,2.0554562085054777,26,1,0,5,0,12,0,0,1,0,0,34,0,10,2,0,0,17,0,0,0,0,189,0,4,0,4,5,0,857,0,0,0,0,0,3,0,0,1,1,4,0,6,14,0,0,0,0,6,0,0,0,45,0,4,0,0,0,0,2,56,0,3,0,2,33,0,0,6,0,0,6,0,309397022,14,1,0,0,3,242,509,0,0,0,0,1,0,0,0,0,0,15,0,0,0,80,0,0,1,0,0,2,49,0,0,0,2,1,24,51,0,5,0,37,1,0,0,0,7,0,2,42,0,23,0,3,3,6,2,0,0,13,0,1,8,0,1,4,25,2,0,13,0,0,38,0,0,1,0,0
411320,201504,1,48651,2.0554562085054777,26,1,0,5,0,12,0,0,1,0,0,34,0,10,2,0,0,18,0,0,0,0,189,0,4,0,4,5,0,859,0,0,0,0,0,3,0,0,1,1,4,0,6,14,0,0,0,0,6,0,0,0,45,0,4,0,0,0,0,2,56,0,3,0,2,34,0,0,6,0,0,6,0,309397022,14,1,0,0,3,242,509,0,0,0,0,1,0,0,0,0,0,16,0,0,0,80,0,0,1,0,0,2,51,0,0,0,2,1,24,51,0,5,0,37,1,0,0,0,7,0,2,42,0,23,0,3,3,6,2,0,0,13,0,1,8,0,1,4,25,2,0,13,0,0,38,0,0,1,0,0
411320,201510,1,48651,2.0554562085054777,26,1,0,5,0,12,0,0,1,0,0,35,0,11,2,0,0,13,0,0,0,0,213,0,4,0,4,5,0,852,0,0,0,0,0,3,0,0,1,1,4,0,6,15,0,0,0,0,5,0,0,0,42,0,4,0,0,0,0,2,60,0,3,0,2,36,0,0,7,0,0,5,0,302187764,17,1,0,0,3,236,488,0,0,0,0,1,0,0,0,0,0,20,0,0,0,80,0,0,1,0,0,2,51,0,0,0,2,1,24,51,0,5,0,36,1,0,0,0,7,0,2,33,0,17,0,3,3,6,2,0,0,13,0,1,8,0,1,4,25,2,0,12,0,0,38,0,0,1,0,0
411320,201609,1,48651,2.0554562085054777,25,1,0,5,0,13,0,0,1,0,0,34,0,10,2,0,0,14,0,0,0,0,233,0,3,0,4,3,0,825,0,0,0,0,0,3,0,0,1,0,4,0,6,15,0,0,0,0,5,0,0,0,37,0,4,0,0,0,0,2,57,0,3,0,2,36,0,0,8,0,0,6,0,313832063,17,1,0,0,3,239,483,0,0,0,0,1,0,0,0,0,0,19,0,0,0,84,0,0,1,0,0,2,49,0,0,0,2,1,23,51,0,5,0,39,1,0,0,0,6,0,2,32,0,22,0,3,3,6,2,0,0,12,0,0,8,0,1,4,25,2,0,14,0,0,37,0,0,1,0,0
411320,201701,1,48651,2.0554562085054777,24,1,0,5,0,13,0,0,1,0,0,34,0,10,2,0,0,14,0,0,0,0,232,0,3,0,4,3,0,822,0,0,0,0,0,3,0,0,1,0,0,0,6,15,0,0,0,0,5,0,0,1,36,0,5,0,0,0,0,2,57,0,3,0,2,36,0,0,7,0,0,5,0,308540154,16,1,0,0,3,239,483,0,0,0,0,1,0,0,0,0,0,19,0,0,0,84,0,0,1,0,0,2,49,0,0,0,2,0,23,51,0,5,0,38,1,0,0,0,5,0,2,32,0,21,0,3,3,6,0,0,0,12,0,0,8,0,1,4,25,2,0,14,0,0,36,0,0,1,0,0
411320,201708,1,48651,2.0554562085054777,24,3,0,5,0,13,0,0,1,0,0,34,0,9,2,0,0,14,0,0,0,0,225,0,1,0,4,3,0,821,0,0,0,0,0,3,0,0,1,0,0,0,6,15,0,0,0,0,5,0,0,1,38,0,6,0,0,0,0,2,55,0,3,0,2,36,0,0,7,0,0,5,0,336238337,17,1,0,0,3,251,494,0,0,0,0,1,0,0,0,0,0,19,0,0,0,88,0,0,1,0,0,2,48,0,0,0,2,1,23,51,0,5,0,41,1,0,0,0,5,0,2,32,0,25,0,3,8,6,0,0,0,12,0,0,8,0,1,2,27,2,0,13,0,0,36,0,0,1,0,0
411320,201711,1,48651,2.0554562085054777,24,3,0,5,0,13,0,0,1,0,0,34,0,9,2,0,0,15,0,0,0,0,251,0,2,0,4,3,0,847,0,0,0,0,0,3,0,0,1,0,0,0,6,15,0,0,0,0,5,0,0,1,38,0,6,0,0,0,0,2,56,0,3,0,2,35,0,0,7,0,0,5,0,336238337,17,1,0,0,3,251,495,0,0,0,0,1,0,0,0,0,0,19,0,0,0,88,0,0,1,0,0,2,48,0,0,0,2,1,23,51,0,5,0,41,1,0,0,0,5,0,2,35,0,25,0,3,8,6,0,0,0,12,0,0,8,0,1,2,27,2,0,13,0,0,36,0,0,1,0,0
411320,201809,1,48651,2.0554562085054777,25,1,0,5,0,13,0,0,1,0,0,34,0,9,2,0,0,18,0,0,0,0,239,0,2,0,4,3,0,824,0,0,0,0,0,3,0,0,1,0,0,0,6,15,0,0,0,0,5,0,0,1,40,0,8,0,0,0,0,2,53,0,3,0,2,35,0,0,7,0,0,6,0,336238337,18,1,0,0,3,243,487,0,0,0,0,1,0,0,0,0,0,20,0,0,0,88,0,0,1,0,0,2,48,0,0,0,2,0,23,51,0,5,0,41,1,0,0,0,5,0,2,35,0,24,0,3,8,6,0,0,0,12,0,0,8,0,1,2,27,2,0,13,0,0,36,0,0,1,0,0
