CODUFMUN,COMPETEN,SUICIDE,POP_EST,RATE,CONSELHO_SOCIAL_ASSISTANT,TP_UNID_SPECIALIZED_HOSPITAL,TIPEQUIP_OTHER,SGRUPHAB_ODONTOLOGY,TP_UNID_SHORTSTAY_HOSPITAL,SGRUPHAB_GENETICS,SGRUPHAB_MENTAL_HEALTH,CONSELHO_PHYSICAL_EDUCATION,TIPEQUIP_DENTISTRY,SERV_ESP_REHABILITATION,TP_UNID_NOTIFICATION_CENTER,TP_UNID_PHARMACY,CONSELHO_PHYSICIST,CONSELHO_OPTICIAN,NULEITOS,SERV_ESP_REPRODUCTIVE_HEALTH,SGRUPHAB_URGENCY,SERV_ESP_PHYSICALTHERAPY,SGRUPHAB_CHRONIC_DISEASES,TIPO_EQP_ORAL_HEALTH,SERV_ESP_OBESITY,SERV_ESP_MENTAL_HEALTH,SGRUPHAB_CARDIOVASCULAR,TIPEQUIP_AUDIOLOGY,CONSELHO_PHARMACIST,CONSELHO_VETERINARIAN,SERV_ESP_HEMOTHERAPY,SGRUPHAB_INTERMEDIARY_CARE,SERV_ESP_ONCOLOGY,SERV_ESP_ORAL_HEALTH,SGRUPHAB_PHYLANTHROPY,SERV_ESP_NUTRITION/GASTROLOGY,SERV_ESP_TELEHEALTH,SGRUPHAB_OPHTHALMOLOGY,SERV_ESP_URGENCY,CONSELHO_MEDICAL_REGISTRATION_MAIS_MEDICOS,TP_UNID_MULTISPECIALIST_CLINIC,SERV_ESP_RARE_DISEASES,CONSELHO_PSYCHOLOGIST,SERV_ESP_ENDOCRINOLOGY,SERV_ESP_SEXUAL_VIOLENCE,TIPEQUIP_GRAPHIC_METHODS,TP_UNID_PREVENTION_CENTER,SERV_ESP_TEACHING,TP_UNID_HEALTHCARE_SURVEILLANCE,SERV_ESP_HEARING_HEALTH,TP_UNID_SPECIALIZED_EMERGENCY_ROOM,TP_UNID_MIXED_EMERGENCY_UNIT,CONSELHO_NURSING,CONSELHO_PEDAGOGY,Leitos,TP_UNID_EMERGENCY_CARE,TP_UNID_EDUCATIONAL_CENTER,TP_UNID_DIAGNOSTIC_CENTER,TP_UNID_CLINIC,SERV_ESP_COMMITTIEES,AMB_SUS,TP_UNID_MULTISPECIALIST_PRIMARY_HEALTHCARE,TIPO_EQP_MENTAL_HEALTH,TIPO_EQP_PRISION_HEALTH,TP_UNID_FAMILY_CENTER,TP_UNID_INDIGENOUS_CENTER,TP_UNID_GENERAL_HOSPITAL,CONSELHO_RADIOLOGY_TECHNICIAN,CONSELHO_RADIOLOGIST,TP_UNID_CENTRAL_LABORATORY,SGRUPHAB_HIV/AIDS,TIPO_EQP_HEALTH_AGENTS,SGRUPHAB_TRAUMA,SERV_ESP_PHARMACY,SGRUPHAB_AURICULAR,HOSP_SUS,SERV_ESP_TUBERCULOSIS/HANSENS_DISEASES,TP_UNID_PRIMARY_HEALTHCARE_UNIT,TP_UNID_RIVER_MOBILE_UNIT,TP_UNID_HOME_CARE,TP_UNID_HEALTH_INSURANCE,IND_SUS,TIPEQUIP_IMAGE_DIAGNOSIS,SGRUPHAB_ONCOLOGY,SERV_ESP_SMOKING,SERV_ESP_INDIGENOUS_HEALTH,PROF_SUS,SERV_ESP_NEUROLOGY,SERV_ESP_TRANSPLANT,TIPEQUIP_LIFE_MAINTAINING,SGRUPHAB_ORTHOPEDICS,TP_UNID_MOBILE_URGENCY_CARE,SERV_ESP_NEFROLOGY,SERV_ESP_PRISON,SGRUPHAB_ICU,SERV_ESP_ORTHOPEDICS,TIPEQUIP_OPTICAL_METHODS,CONSELHO_BIOMEDICINE,TP_UNID_TELEHEALTH,TP_UNID_ACCESS_CENTER,SGRUPHAB_WORKER_HEALTHCARE,TP_UNID_GENERAL_EMERGENCY_ROOM,SGRUPHAB_NUTRITION_GASTROLOGY,CONSELHO_NUTRITIONIST,TIPO_EQP_INDIGENOUS_HEALTH,CONSELHO_PHYSIOTHERAPIST_OCCUPATIONAL_THERAPIST,CONSELHO_SPEECH_THERAPIST,TP_UNID_HEALTH_DEPARTMENT,SGRUPHAB_SURGERY,SERV_ESP_SURGERY,CONSELHO_PHYSICIAN,CONSELHO_CHEMIST,TIPO_EQP_FAMILY_HEALTH,SGRUPHAB_NEUROLOGY,TP_UNID_HEALTHCARE_REGULATOR,SERV_ESP_PREGNANCY,TP_UNID_IMMUNIZATION_CENTER,SERV_ESP_OPHTHALMOLOGY,TP_UNID_MOBILE_HEATH_CARE,SGRUPHAB_PREGNANCY,SERV_ESP_BASIC_HEALTH,SERV_ESP_IMUNIZATION,SGRUPHAB_NEPHROLOGY,TIPO_EQP_PRIMARY_CARE,CONSELHO_DENTIST,TP_UNID_PUBLIC_HEALTH_LABORATORY,TP_UNID_PSYCOSOCIAL_CENTER,SERV_ESP_STI/HIV/AIDS,VINC_SUS,TP_UNID_URGENCY_CARE_REGULATOR,SERV_ESP_ADOLESCENT_HEALTH,SERV_ESP_PNEUMOLOGY,SERV_ESP_CARDIOVASCULAR,CONSELHO_BIOLOGIST,SERV_ESP_HEALTH_SURVEILLANCE,CNES,TP_UNID_SUPPLY_CENTER,CONSELHO_ECONOMIST,TP_UNID_SPECIALIST_UNIT,SGRUPHAB_TEACHING,TIPEQUIP_INFRASTRUCTURE,SERV_ESP_DIAGNOSIS,SERV_ESP_TRANSSEXUAL,SGRUPHAB_TRANSPLANT,SERV_ESP_ICU,TP_UNID_HEMOTHERAPY_CENTER,CONSELHO_STATISTICIAN,SGRUPHAB_GERIATRIC,SGRUPHAB_PHYSICAL_REHABILITATION,SGRUPHAB_OBESITY,TP_UNID_CHILDBIRTH_CENTER,RATE_SUICIDE
150618,202208,1,53242,1.8782164456631982,10,0,5,0,0,0,1,0,57,0,0,0,0,0,0,0,0,8,0,8,0,1,0,0,18,2,1,0,0,8,0,1,0,0,3,0,0,0,6,0,0,3,0,0,0,0,0,0,208,0,159,0,0,1,4,0,28,15,1,0,1,0,5,8,0,0,0,0,0,1,0,4,11,2,0,0,0,27,18,0,0,0,502,0,0,16,0,1,0,0,0,3,3,8,0,1,0,0,0,6,0,18,4,1,0,2,146,0,17,0,0,12,0,0,0,0,32,0,0,0,50,0,1,1,28,0,0,0,0,2,5,190974964,0,0,7,0,19,59,0,0,0,0,0,0,0,0,0,0
150618,202308,1,53242,1.8782164456631982,8,0,4,0,0,0,1,2,78,0,0,0,0,0,0,0,0,16,0,8,0,1,0,0,8,1,1,0,0,6,0,1,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,134,0,140,0,0,1,2,0,27,15,1,0,1,0,4,4,0,0,0,0,0,1,0,3,11,2,0,0,0,27,16,0,0,0,284,0,0,12,0,1,0,0,0,3,2,7,0,1,0,0,0,3,0,15,1,1,0,2,78,0,17,0,0,11,0,0,0,0,32,0,0,0,23,0,1,1,27,0,0,0,0,1,5,181541346,0,0,10,0,22,63,0,0,0,0,0,0,0,0,0,0
150618,202312,1,53242,1.8782164456631982,8,0,4,0,0,0,1,2,78,0,0,0,0,0,0,0,0,16,0,8,0,2,0,0,9,1,1,0,0,6,0,1,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,127,0,103,0,0,1,2,0,25,15,1,0,1,0,3,4,0,0,0,0,0,1,0,1,11,2,0,0,0,26,16,0,0,0,251,0,0,12,0,1,0,0,0,3,2,7,0,1,0,0,0,3,0,15,1,1,0,2,67,0,17,0,0,11,0,0,0,0,32,14,0,0,23,0,1,1,25,0,0,0,0,1,5,183566942,0,0,11,0,38,61,0,0,0,0,0,0,0,0,0,0
150619,200906,1,52473,1.9057420006479524,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,92,0,52,0,0,0,0,0,9,0,0,0,0,0,2,8,0,0,0,6,0,0,0,3,2,7,0,0,0,3,4,0,0,0,168,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,8,0,0,0,0,3,0,0,0,6,0,0,0,10,0,0,0,0,0,6,29150585,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
150619,201001,1,52473,1.9057420006479524,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,84,0,52,0,0,0,0,0,9,0,0,0,0,0,2,8,0,0,0,6,0,0,0,3,2,7,0,0,0,4,4,0,0,0,184,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,0,0,0,0,8,0,0,0,0,5,0,0,0,6,0,0,0,11,0,0,0,0,0,6,35559206,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0
150619,201412,1,52473,1.9057420006479524,6,0,0,0,0,0,1,2,17,0,0,0,0,0,0,1,0,4,0,1,0,2,0,0,0,2,3,0,0,2,0,0,1,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,180,0,52,0,0,0,0,0,14,5,0,0,0,0,2,8,0,0,0,7,0,0,0,5,10,1,0,0,0,9,4,0,0,0,304,0,0,9,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,2,0,0,88,0,4,0,0,12,0,0,0,0,20,0,0,0,6,0,1,0,14,1,0,0,0,0,10,60546421,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0
150619,201603,1,52473,1.9057420006479524,6,0,0,0,0,0,1,2,24,1,0,0,0,0,0,1,0,5,0,2,0,2,0,0,0,2,3,0,0,2,0,0,1,0,3,20,0,0,2,0,0,0,0,0,1,0,0,0,178,0,52,0,0,0,0,0,17,9,0,0,0,0,2,12,0,0,0,5,0,0,0,8,12,0,0,0,0,13,4,0,5,0,322,0,0,13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,2,0,0,86,0,10,0,0,14,0,0,0,0,22,0,0,0,8,0,1,0,17,1,0,0,0,0,10,72799523,0,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0
150619,201609,1,52473,1.9057420006479524,4,0,0,0,0,0,0,0,24,1,0,0,0,0,0,1,0,4,0,2,0,1,0,0,0,2,3,0,0,2,0,0,1,0,3,14,0,0,0,0,0,0,0,0,1,0,0,0,190,0,53,0,0,0,0,0,17,10,0,0,0,0,2,12,0,0,0,6,0,0,0,8,12,0,0,0,0,13,4,0,6,0,300,0,0,13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,66,0,10,0,0,15,0,0,0,0,20,0,0,0,8,0,0,0,17,1,0,0,0,0,11,75092186,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0
150619,201808,1,52473,1.9057420006479524,6,0,0,0,0,0,1,4,28,2,0,0,0,0,0,1,0,8,0,3,0,3,0,0,16,0,3,0,0,1,0,0,10,0,3,14,0,0,6,0,3,9,0,0,2,0,0,0,186,0,57,0,0,0,0,0,19,11,0,0,1,0,2,12,0,0,0,6,0,3,0,6,14,0,0,0,0,19,7,0,7,0,398,0,0,10,0,0,0,0,0,0,12,0,0,0,0,0,0,32,0,12,0,2,0,0,96,0,11,0,0,18,0,0,0,0,25,0,0,0,14,0,1,0,19,0,0,0,0,0,16,95521332,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0
150619,201811,1,52473,1.9057420006479524,8,0,0,0,0,0,1,4,28,2,0,0,0,0,0,1,0,8,0,3,0,3,0,0,16,0,3,0,0,1,0,0,10,0,3,16,0,0,4,0,2,9,0,0,2,0,0,0,186,0,58,0,0,0,0,0,19,11,0,0,1,0,2,12,0,0,0,8,0,3,0,6,12,1,0,0,0,20,7,0,7,0,408,0,0,10,0,0,0,0,0,0,12,0,0,0,0,0,0,32,0,12,0,2,0,0,104,0,11,0,0,17,0,3,0,0,25,0,0,0,14,0,1,0,20,0,0,0,0,0,16,105181761,0,0,0,0,22,23,0,0,0,0,0,0,0,0,0,0
